epoch,train_loss,train_dice,val_loss,val_dice
1,0.7918164051812271,0.2275411581684803,0.8095990759985787,0.19594844310943568
2,0.7237219646059233,0.36820377820524675,0.7552205409322467,0.3427474293857813
3,0.6817005112253386,0.4590246769888648,0.7312052760805402,0.3823712590549673
4,0.6562183437676266,0.5004055325327248,0.6917361531938825,0.5031184495559761
5,0.622830199784246,0.5518960726672205,0.7091875416891915,0.4025341546429055
6,0.5987189740970217,0.5829589993789278,0.6573274476187569,0.5811647049018315
7,0.5785848950517589,0.6161261591418036,0.6438736574990409,0.5546156306351934
8,0.5415426307711108,0.6628954102253092,0.634558345590319,0.5631974336824247
9,0.5355391872340235,0.6365134746863924,0.604993964944567,0.5577298876430307
10,0.5034457136844767,0.6735789333951885,0.5820793339184352,0.5749158965689796
11,0.4652706816278655,0.7014570523952616,0.6007786989212036,0.5041137811328683
12,0.4379096894428648,0.7156277216714004,0.5655886275427682,0.5401165464094707
13,0.4441884982174841,0.682288291125462,0.5321115681103298,0.6328369379043579
14,0.41306335761629304,0.7182764184886011,0.5107096433639526,0.5948843846895865
15,0.3818125231512662,0.7442681460544981,0.49201760973249165,0.6035798154771328
16,0.36783167000474604,0.7324630248135534,0.5187297463417053,0.5460690568600383
17,0.34820674616715,0.7498783571966763,0.4846569810594831,0.6161765839372363
18,0.3368804783656679,0.7505051082578199,0.5566449250493731,0.48372405634394716
19,0.3418289628522149,0.7328714974995317,0.49399168150765554,0.5914662203618458
20,0.33707404136657715,0.7310941630396349,0.4738218103136335,0.5789675531642777
21,0.3052276270142917,0.7620508198080391,0.4206665073122297,0.6582326591014862
22,0.30029620589881106,0.7641172922890762,0.3846189890589033,0.6800563718591418
23,0.2665962679632779,0.790765550629846,0.3827349032674517,0.6782583913632801
24,0.2845589929613574,0.7706875287253281,0.39061979736600605,0.6696895978280476
25,0.2669050118018841,0.7824281310213024,0.43033885955810547,0.6035635737436158
26,0.2601414651706301,0.7831992301447638,0.4161750248500279,0.6710546357291085
27,0.23761803733891454,0.8028295656730389,0.34475613491875784,0.707688991512571
28,0.23642846017048277,0.7988044886753477,0.35071721247264315,0.6936075389385223
29,0.2254737738905282,0.8094781719405075,0.35689298595700947,0.6806577784674508
30,0.22247849456195173,0.8096565419229967,0.37977713346481323,0.6511259504726955
31,0.23557586711028528,0.7930405242689724,0.34350485461098806,0.6856277691466468
32,0.2344375704896861,0.7926232568148909,0.36305939299719675,0.6689624786376953
33,0.23653747089977922,0.7883590809230147,0.3717971784727914,0.6512561355318341
34,0.23172886207185941,0.791617214679718,0.35851034096309115,0.6619943752884865
35,0.2122736881519186,0.8100461446005722,0.35801989691598074,0.6667001715728215
36,0.20078001967791853,0.821535065256316,0.35980455364499775,0.6684308477810451
37,0.19732927864995495,0.8235751123263918,0.3396832602364676,0.6796454510518483
38,0.17923399292189499,0.8403057723209776,0.35240242310932707,0.672726286309106
39,0.21800946983797798,0.7987796808111256,0.3549466133117676,0.6609321002449308
40,0.21840680262138104,0.798291802406311,0.3519358379500253,0.6626412506614413
41,0.22141429884680386,0.7942030984779884,0.32795686381203787,0.692979850939342
42,0.1996644139289856,0.8144587052279505,0.3607745426041739,0.6520715590034213
43,0.1891079462807754,0.8264540351670364,0.3137094037873404,0.7114601305552891
44,0.17612453164725467,0.8376818751466686,0.32885285786220003,0.6896446602685111
45,0.16487538197944904,0.8482150969834164,0.31358263322285246,0.7012486032077244
46,0.16354206512714253,0.8497890788933327,0.31799166543143137,0.7012674638203212
47,0.15144251954966578,0.8612042768248196,0.31870122466768536,0.6948452634470803
48,0.15353123895053206,0.8593209735278425,0.3125477773802621,0.7031731392656054
49,0.1440478255008829,0.8671576010769811,0.3339982713971819,0.6779796374695641
50,0.14523636267103,0.865744031708816,0.3234648449080331,0.6906925312110356
51,0.15266700243127757,0.8574874873819023,0.3231228845460074,0.6892543988568443
52,0.18034254682475123,0.8293416993371372,0.31271545376096455,0.705820517880576
53,0.157165069004585,0.8520352038843878,0.3289575917380197,0.6822638085910252
54,0.1610725501487995,0.848188174181971,0.30241964544568745,0.7090503488268171
55,0.1566045202057937,0.8520707714146581,0.3322437490735735,0.6794734597206116
56,0.16638604731395326,0.8420151246005091,0.331907536302294,0.6779733002185822
57,0.16767101452268404,0.8411902415341345,0.3282860687800816,0.6790412834712437
58,0.15113344480251445,0.856497912571348,0.3091369867324829,0.7017067245074681
59,0.13978976216809502,0.8676650318606146,0.32692343848092215,0.6833491410527911
60,0.1428666978046812,0.8647441309073876,0.34307289123535156,0.6664903930255345
61,0.1268347666181367,0.8817884243767837,0.3084220119885036,0.7033072624887738
62,0.14130965389054398,0.866250923995314,0.30333993264607023,0.7040706021445138
63,0.14177514355758142,0.8657591938972473,0.29782204968588694,0.7106929804597583
64,0.13595446841470127,0.870400870668477,0.3379627466201782,0.6693715155124664
65,0.13271448529999832,0.8734328890668934,0.29238137177058626,0.713751746075494
66,0.13643570192928972,0.8696925557892898,0.2710626891681126,0.7424249138150897
67,0.12860950313765426,0.8772092810992537,0.2849193641117641,0.7267303722245353
68,0.1378402853834218,0.8676717466321485,0.31805878026144846,0.6911354873861585
69,0.17639774289624444,0.8290872717725819,0.3782163177217756,0.6255979431527001
70,0.1480863937016191,0.8574188639377726,0.37709347690854755,0.6278207876852581
71,0.1520568461253725,0.8531211758482045,0.34532305172511507,0.6612156970160348
72,0.14358686784218097,0.8618085733775435,0.3586749860218593,0.6471050722258431
73,0.13213118602489604,0.8725825178212133,0.3330849664551871,0.6720958692686898
74,0.1271663267036964,0.8773667113534336,0.2991063339369638,0.7086959949561528
75,0.12235432041102443,0.8821982001436168,0.2998710444995335,0.7075504660606384
76,0.12200739260377555,0.8824253493341906,0.3114650419780186,0.6938710468155997
77,0.11993000630674691,0.8844150941947411,0.30619832447596956,0.6990424309458051
78,0.11786282679130292,0.8864899935393498,0.30627237047467915,0.6989493582929883
79,0.13378098504296665,0.870271779339889,0.3196076325007847,0.687118010861533
80,0.13004147389839435,0.8739076626711878,0.3314287407057626,0.6739514129502433
81,0.12559370747927961,0.878331472133768,0.28906133345195223,0.7174738730703082
82,0.14081194894067173,0.8628735439530735,0.2792195848056248,0.7288006799561637
83,0.12600561873666172,0.8778167140894922,0.32088418517793926,0.6828581350190299
84,0.12209644194306998,0.8812976130123796,0.3337283304759434,0.6697347249303546
85,0.11459046807782404,0.8887022589815075,0.30729037523269653,0.6960777470043727
86,0.10805664391353212,0.8954907861249201,0.3426050203187125,0.6609664474214826
87,0.11198092945690813,0.8914218771046606,0.3141633868217468,0.6891040418829236
88,0.10900385215364654,0.8943900301538664,0.32965839760644094,0.6733722346169608
89,0.10334221659035518,0.8996472810876781,0.33426664556775776,0.6686662307807377
90,0.10645016925088291,0.896746512117057,0.30813963072640554,0.6945528047425407
91,0.11118364334106445,0.8915883857628395,0.29104253223964144,0.7122328238827842
92,0.10512133302359745,0.8979073865660305,0.34181141001837595,0.6610832278217588
93,0.11153721809387207,0.8912399822267992,0.3325916273253305,0.6698036683457238
94,0.11019524007007994,0.8924820772532759,0.2808850918497358,0.7220830534185682
95,0.1114056213148709,0.8914195545788469,0.3037967767034258,0.6988653327737536
96,0.10766407128038077,0.8950814871952452,0.2845493640218462,0.7192444290433612
97,0.09972699757280021,0.902774623755751,0.3098323770931789,0.692644898380552
98,0.10004923466978402,0.9027245949054586,0.2918292113712856,0.7112328878470829
99,0.09433351714035561,0.9081801299391121,0.31817318711962017,0.6842966633183616
100,0.10741676544320994,0.8950395481339817,0.3008797679628645,0.7017008066177368
